date,open,high,low,close,volume,marketCap
2017-11-08,270.43,298.81,268.81,285.47,22643000,578193000
2017-11-07,260.04,273.18,260.04,271.27,22712300,555997000
2017-11-06,276.58,279.72,259.64,259.85,19432300,591355000
2017-11-05,278.1,285.64,273.37,276.28,14591800,594608000
2017-11-04,270.45,284.62,259.08,278.66,66891000,578248000
2017-11-03,262.93,284.64,260.1,271.12,25755600,1934570000
2017-11-02,251.29,273.73,251.29,263.27,23900000,1846340000
2017-11-01,239.45,251.3,234.88,250.93,24030900,1757760000
2017-10-31,227.38,239.52,226.79,239.52,18364400,1667460000
2017-10-30,225.77,230.18,223.09,228.12,22568300,1653970000
2017-10-29,211.72,233.22,211.18,227.1,11138200,1549720000
2017-10-28,213.13,217.36,209.66,211.84,10550800,1558580000
2017-10-27,216.65,220.7,210.38,212.55,14048500,1582930000
2017-10-26,206.38,220.18,205.15,216.59,15882500,1506580000
2017-10-25,193.74,206.68,188.8,206.32,17013600,1405090000
2017-10-24,196.65,201.47,186.31,193.7,12298000,1424770000
2017-10-23,204.73,208.28,193.84,198.58,13730900,1481770000
2017-10-22,208.51,210.75,198.85,205.04,9944220,1507780000
2017-10-21,213.01,218.42,204.57,210.4,10211700,1538750000
2017-10-20,199.81,216.68,198.23,213.46,15662400,1442010000
2017-10-19,195.58,202.03,194.07,199.79,14086400,1410190000
2017-10-18,193.93,196.44,178.7,195.38,13234800,1395380000
2017-10-17,199.63,200.25,191.39,193.95,14142600,1434990000
2017-10-16,193.05,200.68,190.66,199.63,14092700,1385880000
2017-10-15,200.83,201.44,186.43,193.04,9190960,1440370000
2017-10-14,196.68,201.51,193.34,199.74,12375600,1409300000
2017-10-13,188.67,204.19,187.51,196.72,18181900,1350390000
2017-10-12,166.71,188.09,166.23,188.09,15616200,1182750000
2017-10-11,161.35,168.28,158.95,166.59,13011800,1143640000
2017-10-10,158.71,166.74,158.71,161.25,13035600,1116440000
2017-10-09,148.29,161.37,146.63,158.66,12646700,1034940000
2017-10-08,142.71,148.93,142.33,148.31,6956630,995090000
2017-10-07,141.85,144.33,139.16,144.15,6342670,984296000
2017-10-06,138.96,143.83,138.68,141.86,10787200,958272000
2017-10-05,135.21,140.32,132.93,138.96,8245120,931554000
2017-10-04,136.92,138.58,134.12,135.09,7468280,941932000
2017-10-03,139.07,139.75,134.2,136.58,8298420,955766000
2017-10-02,139.19,140.6,134.72,139.08,11113800,953552000
2017-10-01,136.23,139.33,134.03,139.33,5808050,932178000
2017-09-30,130.13,136.54,128.68,136.16,7830160,889567000
2017-09-29,131.15,132.31,123.58,130.11,10871800,895647000
2017-09-28,126.3,131.58,125.18,131.26,12807500,861593000
2017-09-27,117.41,127.13,117.36,126.31,10526200,800032000
2017-09-26,117.5,120.41,116.41,117.76,10629600,796741000
2017-09-25,109.68,119.57,109.51,117.5,10414100,742949000
2017-09-24,113.12,113.27,108.57,110.11,4950760,765508000
2017-09-23,109.38,113.91,108.24,113.17,5640310,739413000
2017-09-22,108.61,113.21,107.07,109.69,6933750,733372000
2017-09-21,116.67,117.45,107.42,108.74,6427510,787024000
2017-09-20,117.55,121.49,114.45,117.25,8498270,792175000
2017-09-19,122.2,123.12,114.6,117.67,9224430,822711000
2017-09-18,106.62,122.24,106.49,122,8192160,716916000
2017-09-17,109.75,110.94,102.82,106.84,5350380,737226000
2017-09-16,111.11,116.01,105.02,109.85,5683580,744652000
2017-09-15,97.42,113.76,89.36,111.22,8539660,652107000
2017-09-14,115.98,117.38,96.71,96.71,6367800,775543000
2017-09-13,123.14,123.7,112.6,115.97,6315510,822282000
2017-09-12,125.29,130.91,122.22,123.5,6861080,835911000
2017-09-11,121.88,128.2,120.76,125.7,7083720,812292000
2017-09-10,129.7,129.7,118.94,122.92,4644030,863579000
2017-09-09,128.51,131.51,125.21,130.05,6225680,854520000
2017-09-08,137.68,139.78,123.23,128.29,7051050,914556000
2017-09-07,135.88,138.67,132.52,137.61,7564730,901778000
2017-09-06,130.25,142.16,128.85,136.18,8049390,863537000
2017-09-05,114.74,131.57,108.93,129.42,8537600,756793000
2017-09-04,128.26,129.55,110.68,114.13,30395600,845031000
2017-09-03,131.71,135.06,125.87,130.99,5244490,866869000
2017-09-02,141.11,142.8,128,131.33,5056030,926918000
2017-09-01,135.66,140.97,133.47,140.97,7854700,890229000
2017-08-31,135.6,136.88,132.24,135.63,6633480,888920000
2017-08-30,128.06,137.29,127.68,136.06,9923160,838560000
2017-08-29,119.01,129.24,114.84,128.24,9907640,778470000
2017-08-28,114.84,120.45,86.11,118.75,6444290,750345000
2017-08-27,116.11,129.98,101.65,114.99,4895670,757691000
2017-08-26,100.14,136.51,93.25,116.13,995116,652789000
2017-08-25,123.4,149.89,38.98,100.87,3353200,803652000
2017-08-24,128.05,131.49,119.89,127.08,8552010,832860000
2017-08-23,120.2,130.43,119.72,127.97,9692110,781010000
2017-08-22,116.16,121.95,106.55,120.44,6273350,754043000
2017-08-21,116.32,118.05,112.68,115.91,7667050,754278000
2017-08-20,119.53,119.61,114.63,116.77,4730720,774327000
2017-08-19,121.01,132.04,111.47,120.04,6751140,783024000
2017-08-18,117.65,124.19,115.06,121.08,7858910,760435000
2017-08-17,119.23,122.91,115.32,117.9,9416780,769810000
2017-08-16,112.38,119.41,107.07,119.36,8065040,724865000
2017-08-15,113.03,116.79,104.35,112.26,8375150,728298000
2017-08-14,103.3,112.83,98.87,112.74,7806160,664460000
2017-08-13,104.71,113.37,100.17,103.23,5104100,672851000
2017-08-12,98.88,106.88,97.91,104.76,6396390,634327000
2017-08-11,91.57,100.27,91.22,98.96,8535500,586851000
2017-08-10,85.94,92.18,85.46,91.54,8170850,550213000
2017-08-09,86.45,86.89,83.16,85.91,6557630,552995000
2017-08-08,83.13,87.32,83.03,86.51,8050680,530677000
2017-08-07,79.2,84.9,78.36,83.05,4506370,505097000
2017-08-06,79.13,81.21,75.75,79.32,3382890,504140000
2017-08-05,70.72,80.61,70.72,79.13,4215220,450089000
2017-08-04,69.41,71.1,67.85,70.9,4766590,441261000
2017-08-03,65.09,69.85,64.73,69.35,4382480,413366000
2017-08-02,50.73,70.3,49.78,64.93,3277460,321857000
2017-08-01,65.98,66.14,41.09,52.44,261126,416441000
2017-07-31,61.29,66.64,57.91,66.14,1578510,386447000
2017-07-30,65.08,65.16,61.26,61.52,2147470,409831000
2017-07-29,69.08,69.23,64.04,64.96,2912860,434587000
2017-07-28,65.28,69.94,64.79,69.28,4174750,410202000
